bird_id,colony,visit_count
K45956-MOOO,MSTO_28,915
K50349-MOWW,MSTO_29,6
K50384-MKWW,MSTO_29,34
K50384-MKWW,MSTO_30,237
K50384-MKWW,MSTO_34,139
K84503-MWOY,MSTO_29,37
K84503-MWOY,MSTO_30,193
K84503-MWOY,MSTO_34,39
K84514-MRWY,MSTO_34,92
K84525-MBBO,MSTO_29,4
K84609-OMRW,SPRA_42,957
K84615-RMRB,SPRA_42,1457
K84616-KMRR,SPRA_01,467
K84625-OMWB,SPRA_01,1981
K84625-OMWB,SPRA_02,1
K84625-OMWB,SPRA_42,2
K84632-RMKY,SPRA_09,131
K84636-KMYB,SPRA_42,1311
K84649-KMKB,SPRA_02,1941
K84650-OMRB,SPRA_01,1
K84650-OMRB,SPRA_02,609
K84652-WMOR,SPRA_01,1
K84652-WMOR,SPRA_02,2610
K84654-BMOY,SPRA_09,762
K84654-BMOY,SPRA_35,169
K84655-KMRB,SPRA_09,280
K84655-KMRB,SPRA_35,143
K84659-YMOK,SPRA_49,209
K84661-KMWB,SPRA_49,97
K84662-OMRY,SPRA_09,450
K84662-OMRY,SPRA_35,12
K84667-KMOY,SPRA_42,2283
K84675-KMOB,SPRA_02,343
K84676-YMRO,SPRA_42,2875
K84679-OMRO,SPRA_01,365
K88006-MYOW,MSTO_28,819
K88040-WMOY,SPRA_42,1315
L00102-PMYO,SPRA_01,5
L00102-PMYO,SPRA_42,16
L00102-PMYO,SPRA_49,5
L00103-WMWW,SPRA_34,4
L00103-WMWW,SPRA_42,36
L00103-WMWW,SPRA_46,141
L00104-YMPY,SPRA_42,1
L00104-YMPY,SPRA_46,2
L00106-YGMRY,SPRA_42,3
L00107-MPWK,MSTO_28,6
L00108-MRPW,MSTO_29,297
L00109-MOPY,MSTO_28,2
L00109-MOPY,MSTO_29,40
L00109-MOPY,MSTO_30,11
L00112-PMWK,SPRA_34,2
L00112-PMWK,SPRA_42,1
L00301-WRMKO,SPRA_42,1298
L00302-WRMKK,SPRA_42,793
L00303-WRMKY,SPRA_42,1999
L00305-WRMWO,SPRA_42,819
L00307-MWRBB,MSTO_28,378
L00315-MWRPP,MSTO_28,203
L00315-MWRPP,MSTO_30,167
L00318-WRMBK,SPRA_01,1
L00318-WRMBK,SPRA_34,2
L00318-WRMBK,SPRA_42,450
L00321-WRMKR,SPRA_42,436
L00327-MWRWY,MSTO_29,99
L00327-MWRWY,SPRA_42,1
L00329-MWROW,MSTO_28,2
L00329-MWROW,MSTO_29,118
L00329-MWROW,MSTO_30,7
L00332-MWRRY,SPRA_34,266
L00332-MWRRY,SPRA_42,16
L00332-MWRRY,SPRA_46,331
L00334-WRMOR,LLOD_17,1
L00337-WRMKW,SPRA_02,1
L00337-WRMKW,SPRA_09,668
L00337-WRMKW,SPRA_35,75
L00337-WRMKW,SPRA_42,3
L00338-WRMOY,SPRA_01,48
L00338-WRMOY,SPRA_09,25
L00338-WRMOY,SPRA_35,15
L00338-WRMOY,SPRA_42,4
L00339-WRMOW,SPRA_34,449
L00339-WRMOW,SPRA_42,5
L00339-WRMOW,SPRA_46,390
L00341-WRMPW,SPRA_34,1840
L00341-WRMPW,SPRA_42,1
L00341-WRMPW,SPRA_46,167
L00343-WRMOP,SPRA_02,5
L00345-WRMPY,SPRA_34,445
L00345-WRMPY,SPRA_42,14
L00345-WRMPY,SPRA_46,486
L00348-WRMPK,SPRA_01,1
L00348-WRMPK,SPRA_42,855
L00350-MWRRK,MSTO_29,45
L00350-MWRRK,MSTO_30,167
L00353-WRMYO,SPRA_42,1836
L00354-WRMPO,SPRA_42,1086
L00357-WRMRY,SPRA_01,1135
L00360-MBYR,MSTO_28,1
L00360-MBYR,MSTO_29,79
L00360-MBYR,MSTO_30,111
L00360-MBYR,SPRA_42,3
L00362-MWOP,MSTO_28,4
L00362-MWOP,MSTO_29,147
L00362-MWOP,MSTO_30,135
L00363-MKWY,MSTO_29,222
L00363-MKWY,MSTO_30,7
L00364-MYKW,SPRA_01,1
L00364-MYKW,SPRA_41,4
L00364-MYKW,SPRA_42,933
L00365-MWYK,MSTO_30,40
L00366-MOOW,MSTO_28,72
L00366-MOOW,SPRA_02,3
L00366-MOOW,SPRA_42,1234
L00367-MROW,MSTO_28,3
L00367-MROW,MSTO_29,266
L00367-MROW,MSTO_30,14
L00367-MROW,MSTO_31,2
L00368-MWKY,MSTO_28,57
L00368-MWKY,MSTO_30,20
L00370-MOOB,MSTO_28,429
L00370-MOOB,MSTO_30,3
L00371-MBYY,MSTO_28,372
L00371-MBYY,MSTO_29,1
L00372-MROP,MSTO_28,568
L00372-MROP,MSTO_31,905
L00373-MKOP,MSTO_28,999
L00374-MOBR,MSTO_29,139
L00374-MOBR,MSTO_30,395
L00374-MOBR,MSTO_31,1
L00374-MOBR,MSTO_34,1
L00375-MOYP,MSTO_30,64
L00375-MOYP,MSTO_31,19
L00375-MOYP,MSTO_34,3
L00376-MRBY,MSTO_28,8
L00376-MRBY,MSTO_29,17
L00376-MRBY,MSTO_30,209
L00376-MRBY,MSTO_31,1
L00377-MKYP,MSTO_28,464
L00378-MPPK,MSTO_28,133
L00378-MPPK,MSTO_30,14
L00379-MPKY,MSTO_28,160
L00379-MPKY,MSTO_31,3
L00381-MPYY,MSTO_28,3
L00381-MPYY,MSTO_29,150
L00381-MPYY,MSTO_31,1
L00382-MKKP,MSTO_28,331
L00383-BMRB,SPRA_01,1240
L00383-BMRB,SPRA_02,2
L00383-BMRB,SPRA_42,7
L00384-RMYY,SPRA_02,727
L00384-RMYY,SPRA_09,130
L00384-RMYY,SPRA_42,2
L00385-WMOO,SPRA_01,1
L00385-WMOO,SPRA_02,1091
L00386-WMRR,SPRA_01,1
L00386-WMRR,SPRA_02,1544
L00386-WMRR,SPRA_42,2
L00387-KMBW,SPRA_01,479
L00387-KMBW,SPRA_02,9
L00387-KMBW,SPRA_09,1
L00388-RMKK,SPRA_01,833
L00388-RMKK,SPRA_09,2
L00388-RMKK,SPRA_35,3
L00388-RMKK,SPRA_42,6
L00389-OMYK,SPRA_01,286
L00389-OMYK,SPRA_02,3
L00389-OMYK,SPRA_42,3
L00390-YMYB,SPRA_01,42
L00390-YMYB,SPRA_42,1413
L00391-BMOK,SPRA_01,404
L00392-WMYY,SPRA_01,261
L00392-WMYY,SPRA_42,13
L00393-RMOP,SPRA_34,322
L00393-RMOP,SPRA_42,65
L00393-RMOP,SPRA_46,232
L00394-YMYK,SPRA_01,3
L00394-YMYK,SPRA_02,3
L00394-YMYK,SPRA_41,445
L00394-YMYK,SPRA_42,223
L00395-BMRY,SPRA_09,28
L00395-BMRY,SPRA_35,37
L00396-OMWW,SPRA_09,225
L00396-OMWW,SPRA_35,7
L00396-OMWW,SPRA_42,20
L00397-OMOK,SPRA_01,2
L00397-OMOK,SPRA_09,829
L00397-OMOK,SPRA_35,40
L00397-OMOK,SPRA_41,2
L00397-OMOK,SPRA_42,3
L00399-KOBM,SPRA_42,267
L00400-BRBM,LLOD_12,5
L00400-BRBM,LLOD_17,68
L00401-KYYM,LLOD_12,8
