id1,id2,shared_years,stable_years,fraction_stable
BMBK,BMBO,1,1,1.0
BMBK,BMBR,1,1,1.0
BMBK,BMKO,1,1,1.0
BMBK,BMKR,1,1,1.0
BMBK,BMOB,1,1,1.0
BMBK,BMOW,1,1,1.0
BMBK,BMOY,1,1,1.0
BMBK,BMRK,1,1,1.0
BMBK,BMRO,1,1,1.0
BMBK,BMWY,1,1,1.0
BMBK,KMBO,1,1,1.0
BMBK,KMBY,1,1,1.0
BMBK,KMKR,1,1,1.0
BMBK,KMOB,1,1,1.0
BMBK,KMOR,1,1,1.0
BMBK,KMOY,1,1,1.0
BMBK,KMRB,1,1,1.0
BMBK,KMRW,1,1,1.0
BMBK,KMWB,1,1,1.0
BMBK,KMWY,1,1,1.0
BMBK,KMYB,1,1,1.0
BMBK,MKYY,1,1,1.0
BMBK,MRWR,1,1,1.0
BMBK,OMBY,1,1,1.0
BMBK,OMKR,1,1,1.0
BMBK,OMOW,1,1,1.0
BMBK,OMRO,1,1,1.0
BMBK,OMRW,1,1,1.0
BMBK,OMRY,1,1,1.0
BMBK,OMWO,1,1,1.0
BMBK,OMYO,1,1,1.0
BMBK,OMYR,1,1,1.0
BMBK,OMYY,1,1,1.0
BMBK,RMKB,1,1,1.0
BMBK,RMKR,1,1,1.0
BMBK,RMKY,1,1,1.0
BMBK,RMRB,1,1,1.0
BMBK,RMWB,1,1,1.0
BMBK,RMWR,1,1,1.0
BMBK,RMWY,1,1,1.0
BMBK,RMYW,1,1,1.0
BMBK,WMBK,1,1,1.0
BMBK,WMBR,1,1,1.0
BMBK,WMOK,1,1,1.0
BMBK,WMRB,1,1,1.0
BMBK,WMRY,1,1,1.0
BMBK,WMWB,1,1,1.0
BMBK,WMYR,1,1,1.0
BMBK,YMBO,1,1,1.0
BMBK,YMBR,1,1,1.0
BMBK,YMKK,1,1,1.0
BMBK,YMKO,1,1,1.0
BMBK,YMOK,1,1,1.0
BMBK,YMWB,1,1,1.0
BMBK,YMWY,1,1,1.0
BMBK,YMYO,1,1,1.0
BMBO,BMBR,1,1,1.0
BMBO,BMKO,1,1,1.0
BMBO,BMKR,1,1,1.0
BMBO,BMOB,1,1,1.0
BMBO,BMOW,1,1,1.0
BMBO,BMOY,1,1,1.0
BMBO,BMRK,1,1,1.0
BMBO,BMRO,1,1,1.0
BMBO,BMWY,1,1,1.0
BMBO,KMBO,1,1,1.0
BMBO,KMBY,1,1,1.0
BMBO,KMKR,1,1,1.0
BMBO,KMOB,1,1,1.0
BMBO,KMOR,1,1,1.0
BMBO,KMOY,1,1,1.0
BMBO,KMRB,1,1,1.0
BMBO,KMRW,2,2,1.0
BMBO,KMWB,2,2,1.0
BMBO,KMWY,1,1,1.0
BMBO,KMYB,1,1,1.0
BMBO,MKYY,1,1,1.0
BMBO,MRWR,1,1,1.0
BMBO,OMBY,1,1,1.0
BMBO,OMKR,1,1,1.0
BMBO,OMOW,1,1,1.0
BMBO,OMRO,1,1,1.0
BMBO,OMRW,1,1,1.0
BMBO,OMRY,1,1,1.0
BMBO,OMWO,3,3,1.0
BMBO,OMYO,1,1,1.0
BMBO,OMYR,1,1,1.0
BMBO,OMYY,1,1,1.0
BMBO,RMKB,1,1,1.0
BMBO,RMKR,1,1,1.0
BMBO,RMKY,1,1,1.0
BMBO,RMRB,1,1,1.0
BMBO,RMWB,1,1,1.0
BMBO,RMWR,1,1,1.0
BMBO,RMWY,1,1,1.0
BMBO,RMYW,1,1,1.0
BMBO,WMBK,1,1,1.0
BMBO,WMBR,1,1,1.0
BMBO,WMOK,1,1,1.0
BMBO,WMRB,1,1,1.0
BMBO,WMRY,1,1,1.0
BMBO,WMWB,2,2,1.0
BMBO,WMYR,2,2,1.0
BMBO,YMBO,1,1,1.0
BMBO,YMBR,1,1,1.0
BMBO,YMKK,1,1,1.0
BMBO,YMKO,1,1,1.0
BMBO,YMOK,2,2,1.0
BMBO,YMWB,1,1,1.0
BMBO,YMWY,1,1,1.0
BMBO,YMYO,1,1,1.0
BMBR,BMKO,1,1,1.0
BMBR,BMKR,1,1,1.0
BMBR,BMOB,1,1,1.0
BMBR,BMOW,1,1,1.0
BMBR,BMOY,2,2,1.0
BMBR,BMRK,1,1,1.0
BMBR,BMRO,1,1,1.0
BMBR,BMWY,1,1,1.0
BMBR,KMBO,1,1,1.0
BMBR,KMBY,1,1,1.0
BMBR,KMKR,1,1,1.0
BMBR,KMOB,1,1,1.0
BMBR,KMOR,2,2,1.0
BMBR,KMOY,2,2,1.0
BMBR,KMRB,2,2,1.0
BMBR,KMRW,1,1,1.0
BMBR,KMWB,2,2,1.0
BMBR,KMWY,1,1,1.0
BMBR,KMYB,1,1,1.0
BMBR,MKYY,1,1,1.0
BMBR,MRWR,1,1,1.0
BMBR,OMBY,2,2,1.0
BMBR,OMKR,1,1,1.0
BMBR,OMOW,1,1,1.0
BMBR,OMRO,1,1,1.0
BMBR,OMRW,1,1,1.0
BMBR,OMRY,2,2,1.0
BMBR,OMWO,1,1,1.0
BMBR,OMYO,1,1,1.0
BMBR,OMYR,2,2,1.0
BMBR,OMYY,1,1,1.0
BMBR,RMKB,1,1,1.0
BMBR,RMKR,1,1,1.0
BMBR,RMKY,1,1,1.0
BMBR,RMRB,1,1,1.0
BMBR,RMWB,1,1,1.0
BMBR,RMWR,1,1,1.0
BMBR,RMWY,2,2,1.0
BMBR,RMYW,2,2,1.0
BMBR,WMBK,1,1,1.0
BMBR,WMBR,1,1,1.0
BMBR,WMOK,1,1,1.0
BMBR,WMRB,1,1,1.0
BMBR,WMRY,1,1,1.0
BMBR,WMWB,1,1,1.0
BMBR,WMYR,1,1,1.0
BMBR,YMBO,1,1,1.0
BMBR,YMBR,1,1,1.0
BMBR,YMKK,1,1,1.0
BMBR,YMKO,2,2,1.0
BMBR,YMOK,2,2,1.0
BMBR,YMWB,2,2,1.0
BMBR,YMWY,1,1,1.0
BMBR,YMYO,1,1,1.0
BMKO,BMKR,1,1,1.0
BMKO,BMOB,1,1,1.0
BMKO,BMOW,1,1,1.0
BMKO,BMOY,1,1,1.0
BMKO,BMRK,1,1,1.0
BMKO,BMRO,1,1,1.0
BMKO,BMWY,1,1,1.0
BMKO,KMBO,1,1,1.0
BMKO,KMBY,1,1,1.0
BMKO,KMKR,1,1,1.0
BMKO,KMOB,1,1,1.0
BMKO,KMOR,1,1,1.0
BMKO,KMOY,1,1,1.0
BMKO,KMRB,1,1,1.0
BMKO,KMRW,1,1,1.0
BMKO,KMWB,1,1,1.0
BMKO,KMWY,1,1,1.0
BMKO,KMYB,1,1,1.0
BMKO,MKYY,1,1,1.0
BMKO,MRWR,1,1,1.0
BMKO,OMBY,1,1,1.0
BMKO,OMKR,1,1,1.0
BMKO,OMOW,1,1,1.0
BMKO,OMRO,1,1,1.0
BMKO,OMRW,1,1,1.0
BMKO,OMRY,1,1,1.0
BMKO,OMWO,1,1,1.0
BMKO,OMYO,1,1,1.0
BMKO,OMYR,1,1,1.0
BMKO,OMYY,1,1,1.0
BMKO,RMKB,1,1,1.0
BMKO,RMKR,1,1,1.0
BMKO,RMKY,1,1,1.0
BMKO,RMRB,1,1,1.0
BMKO,RMWB,1,1,1.0
BMKO,RMWR,1,1,1.0
BMKO,RMWY,1,1,1.0
BMKO,RMYW,1,1,1.0
BMKO,WMBK,1,1,1.0
BMKO,WMBR,1,1,1.0
BMKO,WMOK,1,1,1.0
BMKO,WMRB,1,1,1.0
BMKO,WMRY,1,1,1.0
BMKO,WMWB,1,1,1.0
BMKO,WMYR,1,1,1.0
BMKO,YMBO,1,1,1.0
BMKO,YMBR,1,1,1.0
BMKO,YMKK,1,1,1.0
BMKO,YMKO,1,1,1.0
BMKO,YMOK,1,1,1.0
BMKO,YMWB,1,1,1.0
BMKO,YMWY,1,1,1.0
BMKO,YMYO,1,1,1.0
BMKR,BMOB,1,1,1.0
BMKR,BMOW,1,1,1.0
BMKR,BMOY,1,1,1.0
BMKR,BMRK,1,1,1.0
BMKR,BMRO,1,1,1.0
BMKR,BMWY,1,1,1.0
BMKR,KMBO,1,1,1.0
BMKR,KMBY,1,1,1.0
BMKR,KMKR,1,1,1.0
BMKR,KMOB,1,1,1.0
BMKR,KMOR,1,1,1.0
BMKR,KMOY,1,1,1.0
BMKR,KMRB,1,1,1.0
BMKR,KMRW,1,1,1.0
BMKR,KMWB,1,1,1.0
BMKR,KMWY,1,1,1.0
BMKR,KMYB,1,1,1.0
BMKR,MKYY,1,1,1.0
BMKR,MRWR,1,1,1.0
BMKR,OMBY,1,1,1.0
BMKR,OMKR,1,1,1.0
BMKR,OMOW,1,1,1.0
BMKR,OMRO,1,1,1.0
BMKR,OMRW,1,1,1.0
BMKR,OMRY,1,1,1.0
BMKR,OMWO,1,1,1.0
BMKR,OMYO,1,1,1.0
BMKR,OMYR,1,1,1.0
BMKR,OMYY,1,1,1.0
BMKR,RMKB,1,1,1.0
BMKR,RMKR,1,1,1.0
BMKR,RMKY,1,1,1.0
BMKR,RMRB,1,1,1.0
BMKR,RMWB,1,1,1.0
BMKR,RMWR,1,1,1.0
BMKR,RMWY,1,1,1.0
BMKR,RMYW,1,1,1.0
BMKR,WMBK,1,1,1.0
BMKR,WMBR,1,1,1.0
BMKR,WMOK,1,1,1.0
BMKR,WMRB,1,1,1.0
BMKR,WMRY,1,1,1.0
BMKR,WMWB,1,1,1.0
BMKR,WMYR,1,1,1.0
BMKR,YMBO,1,1,1.0
BMKR,YMBR,1,1,1.0
BMKR,YMKK,1,1,1.0
BMKR,YMKO,1,1,1.0
BMKR,YMOK,1,1,1.0
BMKR,YMWB,1,1,1.0
BMKR,YMWY,1,1,1.0
BMKR,YMYO,1,1,1.0
BMOB,BMOW,2,2,1.0
BMOB,BMOY,2,2,1.0
BMOB,BMRK,1,1,1.0
BMOB,BMRO,2,2,1.0
BMOB,BMWY,3,3,1.0
BMOB,KMBO,1,1,1.0
BMOB,KMBY,2,2,1.0
BMOB,KMKR,1,1,1.0
BMOB,KMOB,1,1,1.0
BMOB,KMOR,2,2,1.0
BMOB,KMOY,2,2,1.0
BMOB,KMRB,2,2,1.0
BMOB,KMRW,1,1,1.0
BMOB,KMWB,1,1,1.0
BMOB,KMWY,1,1,1.0
BMOB,KMYB,3,3,1.0
BMOB,MKYY,1,1,1.0
BMOB,MRWR,2,2,1.0
BMOB,OMBY,1,1,1.0
BMOB,OMKR,1,1,1.0
BMOB,OMOW,1,1,1.0
BMOB,OMRO,2,2,1.0
BMOB,OMRW,2,2,1.0
BMOB,OMRY,2,2,1.0
BMOB,OMWO,1,1,1.0
BMOB,OMYO,1,1,1.0
BMOB,OMYR,2,2,1.0
BMOB,OMYY,1,1,1.0
BMOB,RMKB,1,1,1.0
BMOB,RMKR,1,1,1.0
BMOB,RMKY,2,2,1.0
BMOB,RMRB,3,3,1.0
BMOB,RMWB,1,1,1.0
BMOB,RMWR,3,3,1.0
BMOB,RMWY,2,2,1.0
BMOB,RMYW,1,1,1.0
BMOB,WMBK,1,1,1.0
BMOB,WMBR,1,1,1.0
BMOB,WMOK,1,1,1.0
BMOB,WMRB,1,1,1.0
BMOB,WMRY,1,1,1.0
BMOB,WMWB,1,1,1.0
BMOB,WMYR,1,1,1.0
BMOB,YMBO,1,1,1.0
BMOB,YMBR,1,1,1.0
BMOB,YMKK,1,1,1.0
BMOB,YMKO,1,1,1.0
BMOB,YMOK,1,1,1.0
BMOB,YMWB,2,2,1.0
BMOB,YMWY,1,1,1.0
BMOB,YMYO,1,1,1.0
BMOW,BMOY,1,1,1.0
BMOW,BMRK,1,1,1.0
BMOW,BMRO,1,1,1.0
BMOW,BMWY,2,2,1.0
