id1,id2,shared_years,stable_years,fraction_stable
BGRM,BOGM,1,1,1.0
BGRM,BPYM,1,1,1.0
BGRM,GOKM,1,1,1.0
BGRM,GORM,1,1,1.0
BGRM,GPGM,1,1,1.0
BGRM,GYYM,1,1,1.0
BGRM,KBOM,1,1,1.0
BGRM,KGWM,1,1,1.0
BGRM,OGKM,1,1,1.0
BGRM,OKPM,1,1,1.0
BGRM,PGYM,1,1,1.0
BGRM,PWGM,1,1,1.0
BGRM,PWWM,1,1,1.0
BGRM,ROGM,1,1,1.0
BGRM,RWGM,1,1,1.0
BGRM,RYGM,1,1,1.0
BGRM,RYKM,1,1,1.0
BGRM,WRMOR,1,1,1.0
BGRM,WYYM,1,1,1.0
BGRM,YBWM,1,1,1.0
BGRM,YGYM,1,1,1.0
BGRM,YKPM,1,1,1.0
BGRM,YMOW,1,1,1.0
BGRM,YOPM,1,1,1.0
BGRM,YPBM,1,1,1.0
BGRM,YPOM,1,1,1.0
BGRM,YWGM,1,1,1.0
BKBM,BKWM,1,1,1.0
BKBM,BKYM,1,1,1.0
BKBM,BOPM,2,1,0.5
BKBM,BOYM,1,1,1.0
BKBM,BPKM,1,1,1.0
BKBM,BPPM,1,1,1.0
BKBM,BROM,2,2,1.0
BKBM,BWOM,2,1,0.5
BKBM,BWPM,1,1,1.0
BKBM,BYOM,2,2,1.0
BKBM,BYRM,1,1,1.0
BKBM,GGOM,1,1,1.0
BKBM,GRGM,1,1,1.0
BKBM,GYWM,1,1,1.0
BKBM,KBBM,2,2,1.0
BKBM,KBPM,1,1,1.0
BKBM,KBYM,1,1,1.0
BKBM,KKKM,1,1,1.0
BKBM,KMWK,2,1,0.5
BKBM,KPRM,1,1,1.0
BKBM,KROM,1,1,1.0
BKBM,KWBM,2,1,0.5
BKBM,KWKM,1,1,1.0
BKBM,KWYM,2,2,1.0
BKBM,KYBM,1,1,1.0
BKBM,OBPM,1,1,1.0
BKBM,OBRM,1,1,1.0
BKBM,OBYM,2,1,0.5
BKBM,OKOM,1,1,1.0
BKBM,OKRM,2,2,1.0
BKBM,OKYM,2,2,1.0
BKBM,OOPM,2,2,1.0
BKBM,OPBM,1,1,1.0
BKBM,OPOM,1,1,1.0
BKBM,OPRM,1,1,1.0
BKBM,ORPM,1,1,1.0
BKBM,OWBM,2,2,1.0
BKBM,OWOM,1,1,1.0
BKBM,OWRM,1,1,1.0
BKBM,OYBM,2,2,1.0
BKBM,OYOM,1,1,1.0
BKBM,OYYM,2,2,1.0
BKBM,PBWM,1,1,1.0
BKBM,PKOM,1,1,1.0
BKBM,POBM,1,1,1.0
BKBM,POOM,1,1,1.0
BKBM,POPM,1,1,1.0
BKBM,POWM,1,1,1.0
BKBM,PPPM,1,1,1.0
BKBM,PPYM,1,1,1.0
BKBM,PRYM,1,1,1.0
BKBM,PWKM,1,1,1.0
BKBM,PWPM,1,1,1.0
BKBM,RBKM,2,2,1.0
BKBM,RBYM,2,2,1.0
BKBM,RKOM,2,2,1.0
BKBM,RKRM,1,1,1.0
BKBM,ROKM,1,1,1.0
BKBM,RPKM,1,1,1.0
BKBM,RPWM,2,2,1.0
BKBM,RRBM,1,1,1.0
BKBM,RRYM,1,1,1.0
BKBM,RWWM,1,1,1.0
BKBM,RYBM,1,1,1.0
BKBM,RYKM,2,1,0.5
BKBM,RYPM,2,2,1.0
BKBM,WBGM,1,1,1.0
BKBM,WBPM,1,1,1.0
BKBM,WBRM,1,1,1.0
